run_name,lr,entropy_coef,kl_coef,group_size,avg_train_reward_last5,max_train_reward,final_eval_reward
HalfCheetah-v4_grpo_hpo39_lr0p0001_ent0p001_kl_0p0_gro32_normal,0.0001,0.001,,32,-365.3429413965684,-365.3429413965684,-131.13
HalfCheetah-v4_grpo_hpo63_lr0p0001_ent0p0_kl_0p0_gro32_normal,0.0001,0.0,,32,-365.3429413965684,-365.3429413965684,-131.21
HalfCheetah-v4_grpo_hpo43_lr0p0001_ent0p0001_kl_0p0001_gro32_normal,0.0001,0.0001,,32,-365.3429413965684,-365.3429413965684,-131.34
HalfCheetah-v4_grpo_hpo51_lr0p0001_ent1e-05_kl_0p0001_gro32_normal,0.0001,1e-05,,32,-365.3429413965684,-365.3429413965684,-131.4
HalfCheetah-v4_grpo_hpo59_lr0p0001_ent0p0_kl_0p0001_gro32_normal,0.0001,0.0,,32,-365.3429413965684,-365.3429413965684,-131.73
HalfCheetah-v4_grpo_hpo33_lr0p0001_ent0p001_kl_0p001_gro32_normal,0.0001,0.001,,32,-365.3429413965684,-365.3429413965684,-131.87
HalfCheetah-v4_grpo_hpo44_lr0p0001_ent0p0001_kl_0p0001_gro64_normal,0.0001,0.0001,,64,-362.00442639822023,-362.00442639822023,-131.98
HalfCheetah-v4_grpo_hpo35_lr0p0001_ent0p001_kl_0p0001_gro32_normal,0.0001,0.001,,32,-365.3429413965684,-365.3429413965684,-133.04
HalfCheetah-v4_grpo_hpo53_lr0p0001_ent1e-05_kl_5e-05_gro32_normal,0.0001,1e-05,,32,-365.3429413965684,-365.3429413965684,-133.17
HalfCheetah-v4_grpo_hpo64_lr0p0001_ent0p0_kl_0p0_gro64_normal,0.0001,0.0,,64,-362.00442639822023,-362.00442639822023,-133.38
HalfCheetah-v4_grpo_hpo49_lr0p0001_ent1e-05_kl_0p001_gro32_normal,0.0001,1e-05,,32,-365.3429413965684,-365.3429413965684,-133.41
HalfCheetah-v4_grpo_hpo58_lr0p0001_ent0p0_kl_0p001_gro64_normal,0.0001,0.0,,64,-362.00442639822023,-362.00442639822023,-133.47
HalfCheetah-v4_grpo_hpo57_lr0p0001_ent0p0_kl_0p001_gro32_normal,0.0001,0.0,,32,-365.3429413965684,-365.3429413965684,-133.67
HalfCheetah-v4_grpo_hpo47_lr0p0001_ent0p0001_kl_0p0_gro32_normal,0.0001,0.0001,,32,-365.3429413965684,-365.3429413965684,-133.9
HalfCheetah-v4_grpo_hpo46_lr0p0001_ent0p0001_kl_5e-05_gro64_normal,0.0001,0.0001,,64,-362.00442639822023,-362.00442639822023,-134.55
HalfCheetah-v4_grpo_hpo56_lr0p0001_ent1e-05_kl_0p0_gro64_normal,0.0001,1e-05,,64,-362.00442639822023,-362.00442639822023,-134.85
HalfCheetah-v4_grpo_hpo60_lr0p0001_ent0p0_kl_0p0001_gro64_normal,0.0001,0.0,,64,-362.00442639822023,-362.00442639822023,-135.06
HalfCheetah-v4_grpo_hpo48_lr0p0001_ent0p0001_kl_0p0_gro64_normal,0.0001,0.0001,,64,-362.00442639822023,-362.00442639822023,-135.31
HalfCheetah-v4_grpo_hpo52_lr0p0001_ent1e-05_kl_0p0001_gro64_normal,0.0001,1e-05,,64,-362.00442639822023,-362.00442639822023,-136.21
HalfCheetah-v4_grpo_hpo38_lr0p0001_ent0p001_kl_5e-05_gro64_normal,0.0001,0.001,,64,-362.00442639822023,-362.00442639822023,-137.27
HalfCheetah-v4_grpo_hpo40_lr0p0001_ent0p001_kl_0p0_gro64_normal,0.0001,0.001,,64,-362.00442639822023,-362.00442639822023,-137.46
HalfCheetah-v4_grpo_hpo54_lr0p0001_ent1e-05_kl_5e-05_gro64_normal,0.0001,1e-05,,64,-362.00442639822023,-362.00442639822023,-137.86
HalfCheetah-v4_grpo_hpo42_lr0p0001_ent0p0001_kl_0p001_gro64_normal,0.0001,0.0001,,64,-362.00442639822023,-362.00442639822023,-137.96
HalfCheetah-v4_grpo_hpo36_lr0p0001_ent0p001_kl_0p0001_gro64_normal,0.0001,0.001,,64,-362.00442639822023,-362.00442639822023,-138.07
HalfCheetah-v4_grpo_hpo34_lr0p0001_ent0p001_kl_0p001_gro64_normal,0.0001,0.001,,64,-362.00442639822023,-362.00442639822023,-138.11
HalfCheetah-v4_grpo_hpo50_lr0p0001_ent1e-05_kl_0p001_gro64_normal,0.0001,1e-05,,64,-362.00442639822023,-362.00442639822023,-138.21
HalfCheetah-v4_grpo_hpo62_lr0p0001_ent0p0_kl_5e-05_gro64_normal,0.0001,0.0,,64,-362.00442639822023,-362.00442639822023,-139.82
HalfCheetah-v4_grpo_hpo92_lr5e-05_ent0p0_kl_0p0001_gro64_normal,5e-05,0.0,,64,-362.00442639822023,-362.00442639822023,-152.28
HalfCheetah-v4_grpo_hpo78_lr5e-05_ent0p0001_kl_5e-05_gro64_normal,5e-05,0.0001,,64,-362.00442639822023,-362.00442639822023,-153.19
HalfCheetah-v4_grpo_hpo80_lr5e-05_ent0p0001_kl_0p0_gro64_normal,5e-05,0.0001,,64,-362.00442639822023,-362.00442639822023,-153.35
HalfCheetah-v4_grpo_hpo86_lr5e-05_ent1e-05_kl_5e-05_gro64_normal,5e-05,1e-05,,64,-362.00442639822023,-362.00442639822023,-153.94
HalfCheetah-v4_grpo_hpo94_lr5e-05_ent0p0_kl_5e-05_gro64_normal,5e-05,0.0,,64,-362.00442639822023,-362.00442639822023,-153.98
HalfCheetah-v4_grpo_hpo90_lr5e-05_ent0p0_kl_0p001_gro64_normal,5e-05,0.0,,64,-362.00442639822023,-362.00442639822023,-154.06
HalfCheetah-v4_grpo_hpo82_lr5e-05_ent1e-05_kl_0p001_gro64_normal,5e-05,1e-05,,64,-362.00442639822023,-362.00442639822023,-154.13
HalfCheetah-v4_grpo_hpo84_lr5e-05_ent1e-05_kl_0p0001_gro64_normal,5e-05,1e-05,,64,-362.00442639822023,-362.00442639822023,-154.17
HalfCheetah-v4_grpo_hpo96_lr5e-05_ent0p0_kl_0p0_gro64_normal,5e-05,0.0,,64,-362.00442639822023,-362.00442639822023,-154.36
HalfCheetah-v4_grpo_hpo88_lr5e-05_ent1e-05_kl_0p0_gro64_normal,5e-05,1e-05,,64,-362.00442639822023,-362.00442639822023,-154.54
HalfCheetah-v4_grpo_hpo74_lr5e-05_ent0p0001_kl_0p001_gro64_normal,5e-05,0.0001,,64,-362.00442639822023,-362.00442639822023,-154.57
HalfCheetah-v4_grpo_hpo72_lr5e-05_ent0p001_kl_0p0_gro64_normal,5e-05,0.001,,64,-362.00442639822023,-362.00442639822023,-154.86
